2021-06-23 00:22:30.577 DEBUG wellness-api-9f78984cb-7tp4k --- [io-8081-exec-25] c.a.a.w.w.c.JwtAuthenticationFilter      : security context was null, so authorizating user
2021-06-23 00:22:30.612 DEBUG wellness-api-9f78984cb-7tp4k --- [io-8081-exec-47] c.a.a.w.w.c.JwtAuthenticationFilter      : security context was null, so authorizating user
2021-06-23 00:22:30.622 DEBUG wellness-api-9f78984cb-7tp4k --- [io-8081-exec-30] c.a.a.w.w.c.JwtAuthenticationFilter      : security context was null, so authorizating user
2021-06-23 00:22:30.628 DEBUG wellness-api-9f78984cb-7tp4k --- [nio-8081-exec-2] c.a.a.w.w.c.JwtAuthenticationFilter      : security context was null, so authorizating user
2021-06-23 00:22:30.630 DEBUG wellness-api-9f78984cb-7tp4k --- [io-8081-exec-29] c.a.a.w.w.c.JwtAuthenticationFilter      : security context was null, so authorizating user
2021-06-23 00:22:30.630 DEBUG wellness-api-9f78984cb-7tp4k --- [io-8081-exec-33] c.a.a.w.w.c.JwtAuthenticationFilter      : security context was null, so authorizating user
2021-06-23 00:22:30.707  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-25] c.a.a.w.w.s.i.MemberService              : SUB : 09445113632
2021-06-23 00:22:30.752  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-25] c.a.a.w.w.u.CommonUtil                   : API:::::api.dailyStep.save.GET
2021-06-23 00:22:30.752  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-25] c.a.a.w.w.u.CommonUtil                   : Controller:::::DailyStepController
2021-06-23 00:22:30.752  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-25] c.a.a.w.w.u.CommonUtil                   : Date:::::Wed Jun 23 00:22:30 MMT 2021
2021-06-23 00:22:30.752  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-25] c.a.a.w.w.u.CommonUtil                   : Request JsonData:::::{"stepCount":0,"dailyEarnPoint":0,"challengeEarnPoint":0}
2021-06-23 00:22:30.753  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-30] c.a.a.w.w.s.i.MemberService              : SUB : 09445113632
2021-06-23 00:22:30.771  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-33] c.a.a.w.w.s.i.MemberService              : SUB : 09445113632
2021-06-23 00:22:30.813  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-33] c.a.a.w.w.c.ChallengeRestController      : Member Id....180
2021-06-23 00:22:30.814  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-33] c.a.a.w.w.s.i.ChallengeService           : Challenge List API...
2021-06-23 00:22:30.818  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-33] c.a.a.w.w.s.i.ChallengeService           : Current Tier....AbstractVersionTrack(createdDate=null, createdUserId=0, updatedDate=2021-05-13 17:01:28.994, updatedUserId=1, version=5, isDelete=false)
2021-06-23 00:22:30.818  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-33] c.a.a.w.w.u.CommonUtil                   : Date:::::Wed Jun 23 00:22:30 MMT 2021
2021-06-23 00:22:30.818  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-33] c.a.a.w.w.u.CommonUtil                   : Response JsonData:::::{"data":[]}
2021-06-23 00:22:30.822 DEBUG wellness-api-9f78984cb-7tp4k --- [io-8081-exec-36] c.a.a.w.w.c.JwtAuthenticationFilter      : security context was null, so authorizating user
2021-06-23 00:22:30.949  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-36] c.a.a.w.w.s.i.MemberService              : SUB : 09445113632
2021-06-23 00:22:31.006  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-36] c.a.a.w.w.u.CommonUtil                   : API:::::api.dailyStep.save.POST
2021-06-23 00:22:31.006  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-36] c.a.a.w.w.u.CommonUtil                   : Controller:::::DailyStepController
2021-06-23 00:22:31.006  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-36] c.a.a.w.w.u.CommonUtil                   : Date:::::Wed Jun 23 00:22:31 MMT 2021
2021-06-23 00:22:31.006  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-36] c.a.a.w.w.u.CommonUtil                   : Request JsonData:::::{"deviceID":"C4E574E1-76B3-4949-8F45-4398A0548152","dailySteps":[{"stepCount":157,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"May 23, 2021 12:00:00 AM"},{"stepCount":4776,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"May 24, 2021 12:00:00 AM"},{"stepCount":661,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"May 25, 2021 12:00:00 AM"},{"stepCount":92,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"May 26, 2021 12:00:00 AM"},{"stepCount":5683,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"May 27, 2021 12:00:00 AM"},{"stepCount":320,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"May 28, 2021 12:00:00 AM"},{"stepCount":1531,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"May 29, 2021 12:00:00 AM"},{"stepCount":5027,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"May 30, 2021 12:00:00 AM"},{"stepCount":889,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"May 31, 2021 12:00:00 AM"},{"stepCount":5467,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"Jun 1, 2021 12:00:00 AM"},{"stepCount":197,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"Jun 2, 2021 12:00:00 AM"},{"stepCount":771,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"Jun 3, 2021 12:00:00 AM"},{"stepCount":4098,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"Jun 4, 2021 12:00:00 AM"},{"stepCount":1120,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"Jun 5, 2021 12:00:00 AM"},{"stepCount":2321,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"Jun 6, 2021 12:00:00 AM"},{"stepCount":282,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"Jun 7, 2021 12:00:00 AM"},{"stepCount":4303,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"Jun 8, 2021 12:00:00 AM"},{"stepCount":592,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"Jun 9, 2021 12:00:00 AM"},{"stepCount":8893,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"Jun 10, 2021 12:00:00 AM"},{"stepCount":143,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"Jun 11, 2021 12:00:00 AM"},{"stepCount":1090,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"Jun 12, 2021 12:00:00 AM"},{"stepCount":6444,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"Jun 13, 2021 12:00:00 AM"},{"stepCount":2305,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"Jun 14, 2021 12:00:00 AM"},{"stepCount":4359,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"Jun 15, 2021 12:00:00 AM"},{"stepCount":4996,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"Jun 16, 2021 12:00:00 AM"},{"stepCount":10440,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"Jun 17, 2021 12:00:00 AM"},{"stepCount":10521,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"Jun 18, 2021 12:00:00 AM"},{"stepCount":10090,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"Jun 19, 2021 12:00:00 AM"},{"stepCount":10504,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"Jun 20, 2021 12:00:00 AM"},{"stepCount":10072,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"Jun 21, 2021 12:00:00 AM"},{"stepCount":15091,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"Jun 22, 2021 12:00:00 AM"},{"stepCount":23,"dailyEarnPoint":0,"challengeEarnPoint":0,"date":"Jun 23, 2021 12:00:00 AM"}]}
